record_id,dept_id,date,transactions,errors,delay_minutes
1,104,2024-02-06,359,29,15
2,103,2024-10-13,151,9,49
3,102,2024-05-26,323,32,42
4,102,2024-12-22,131,15,34
5,105,2024-08-24,387,7,30
6,102,2024-06-16,399,58,22
7,102,2024-06-09,242,6,4
8,105,2024-02-22,348,33,38
9,102,2024-10-27,491,51,39
10,104,2024-01-15,478,54,45
11,103,2024-02-05,82,4,50
12,103,2024-10-08,227,33,31
13,104,2024-04-02,67,1,13
14,102,2024-02-20,493,2,37
15,105,2024-04-17,476,45,18
16,101,2024-06-18,224,14,3
17,105,2024-12-03,266,11,9
18,103,2024-12-22,242,6,4
19,101,2024-08-27,236,25,52
20,104,2024-11-11,328,48,46
21,105,2024-04-17,468,28,0
22,103,2024-10-04,167,5,17
23,105,2024-11-22,270,8,20
24,103,2024-03-06,459,30,4
25,105,2024-03-17,123,13,29
26,103,2024-09-10,87,2,40
27,105,2024-01-31,51,1,25
28,103,2024-04-29,91,6,39
29,105,2024-08-14,356,1,46
30,105,2024-08-22,119,12,3
31,105,2024-11-04,254,33,19
32,103,2024-10-11,486,65,42
33,101,2024-05-30,348,29,34
34,102,2024-08-31,182,26,4
35,102,2024-08-30,331,9,58
36,103,2024-06-23,367,39,58
37,103,2024-03-28,460,21,58
38,102,2024-04-01,464,15,27
39,101,2024-06-25,62,9,1
40,103,2024-06-08,343,41,27
41,102,2024-05-11,160,8,13
42,101,2024-08-23,344,39,32
43,101,2024-01-24,144,16,52
44,105,2024-10-30,304,33,34
45,104,2024-04-27,403,55,40
46,105,2024-07-05,302,44,5
47,103,2024-11-04,59,0,56
48,101,2024-08-18,489,32,58
49,101,2024-10-17,461,20,41
50,102,2024-09-14,251,4,2
51,102,2024-09-20,231,9,22
52,103,2024-02-24,318,47,42
53,103,2024-04-20,287,34,5
54,104,2024-07-14,190,12,55
55,104,2024-10-03,331,10,45
56,101,2024-08-27,470,11,9
57,105,2024-07-16,149,15,55
58,102,2024-08-18,369,24,58
59,104,2024-09-16,96,8,17
60,103,2024-01-09,323,5,23
61,102,2024-12-05,250,6,29
62,102,2024-03-17,263,7,24
63,102,2024-12-07,306,16,60
64,103,2024-10-25,239,9,27
65,104,2024-05-12,169,3,39
66,101,2024-02-21,315,3,2
67,101,2024-03-17,341,6,2
68,103,2024-01-04,419,50,33
69,101,2024-02-29,360,52,59
70,103,2024-06-02,92,6,56
71,105,2024-08-28,303,40,9
72,103,2024-12-14,118,15,30
73,105,2024-11-09,65,2,50
74,104,2024-02-08,378,36,31
75,101,2024-01-04,426,18,39
76,101,2024-05-18,141,10,26
77,103,2024-12-02,493,57,19
78,102,2024-12-30,138,14,1
79,102,2024-10-10,334,31,14
80,101,2024-04-20,312,39,45
81,103,2024-05-11,252,13,58
82,104,2024-06-15,61,7,13
83,103,2024-07-28,166,24,56
84,105,2024-04-01,440,54,6
85,103,2024-04-29,398,9,44
86,105,2024-05-04,88,5,1
87,102,2024-01-27,421,20,34
88,101,2024-12-04,123,5,29
89,104,2024-06-02,204,25,1
90,101,2024-10-29,323,23,52
91,105,2024-11-17,71,9,28
92,102,2024-03-19,284,1,39
93,105,2024-12-09,310,43,57
94,103,2024-12-22,137,13,1
95,102,2024-08-30,262,23,22
96,104,2024-06-05,446,4,47
97,105,2024-11-03,342,5,19
98,103,2024-09-01,223,21,15
99,102,2024-04-10,162,23,5
100,102,2024-03-11,145,5,32
101,104,2024-02-11,392,8,54
102,101,2024-05-12,260,37,39
103,105,2024-06-25,51,2,6
104,104,2024-11-21,479,3,2
105,105,2024-04-09,285,15,47
106,104,2024-05-10,164,4,45
107,103,2024-05-20,60,3,41
108,104,2024-04-08,211,12,0
109,105,2024-08-19,82,11,20
110,104,2024-04-22,173,0,28
111,103,2024-02-29,164,21,19
112,103,2024-03-17,200,7,27
113,101,2024-09-04,374,46,4
114,101,2024-12-06,497,8,17
115,105,2024-06-30,303,1,3
116,104,2024-06-05,176,5,37
117,103,2024-05-20,477,50,50
118,104,2024-03-28,94,6,48
119,103,2024-11-02,423,46,44
120,105,2024-02-16,66,1,53
121,103,2024-05-28,346,51,46
122,104,2024-06-14,277,25,32
123,103,2024-02-14,100,2,24
124,105,2024-07-31,375,42,39
125,102,2024-11-09,487,44,16
126,101,2024-05-31,101,12,59
127,105,2024-02-27,220,4,24
128,103,2024-10-20,257,23,16
129,103,2024-05-01,97,13,27
130,101,2024-11-06,335,37,47
131,101,2024-03-22,413,33,20
132,103,2024-03-13,382,32,37
133,102,2024-12-15,302,0,16
134,102,2024-08-17,422,14,51
135,105,2024-11-17,316,5,17
136,103,2024-07-12,462,13,4
137,105,2024-06-07,392,51,43
138,101,2024-12-08,61,0,32
139,101,2024-06-21,235,20,3
140,103,2024-05-16,385,31,50
141,103,2024-06-28,303,16,21
142,101,2024-03-06,373,54,51
143,101,2024-07-06,413,3,58
144,104,2024-03-19,266,36,48
145,104,2024-02-17,307,35,38
146,104,2024-10-16,228,21,4
147,101,2024-09-16,147,1,27
148,103,2024-08-01,326,11,29
149,101,2024-01-30,287,33,25
150,104,2024-07-31,51,3,9
151,101,2024-08-19,301,14,52
152,103,2024-09-15,219,27,7
153,104,2024-12-21,173,19,20
154,103,2024-12-18,210,3,59
155,103,2024-07-09,237,25,22
156,104,2024-03-17,154,23,5
157,103,2024-10-29,174,10,17
158,103,2024-02-16,126,11,34
159,104,2024-12-25,74,8,59
160,103,2024-02-24,85,9,51
161,105,2024-10-26,443,5,3
162,104,2024-05-02,60,2,51
163,102,2024-10-24,447,9,42
164,105,2024-07-12,399,14,58
165,103,2024-05-22,207,10,18
166,104,2024-12-08,116,5,59
167,104,2024-01-15,196,1,25
168,103,2024-01-18,423,10,23
169,103,2024-11-03,397,43,23
170,104,2024-10-26,469,48,12
171,103,2024-09-08,255,32,58
172,105,2024-09-27,330,49,9
173,101,2024-02-26,298,5,43
174,102,2024-03-22,229,26,55
175,104,2024-11-03,303,30,45
176,102,2024-02-29,354,46,56
177,103,2024-12-25,336,16,17
178,101,2024-08-09,208,26,1
179,103,2024-12-12,208,2,19
180,101,2024-10-16,430,50,23
181,104,2024-04-17,231,25,20
182,102,2024-09-10,221,27,9
183,101,2024-01-06,352,28,50
184,104,2024-05-05,274,21,41
185,104,2024-09-04,451,14,44
186,104,2024-10-30,341,37,55
187,104,2024-03-27,139,0,36
188,103,2024-10-20,251,25,40
189,101,2024-11-25,219,11,11
190,101,2024-07-08,358,5,50
191,104,2024-12-17,286,42,37
192,102,2024-11-15,106,15,42
193,104,2024-07-27,156,23,38
194,104,2024-12-28,498,4,17
195,105,2024-05-21,408,51,26
196,102,2024-02-20,110,16,2
197,104,2024-08-03,181,13,46
198,103,2024-12-04,436,12,50
199,103,2024-10-31,247,32,52
200,105,2024-02-05,162,1,11
201,105,2024-09-18,81,4,53
202,103,2024-08-21,422,50,60
203,105,2024-10-09,148,22,26
204,105,2024-03-24,411,51,9
205,101,2024-10-20,156,9,47
206,105,2024-03-15,478,37,50
207,101,2024-07-30,390,46,17
208,105,2024-11-29,293,32,36
209,104,2024-11-17,385,47,20
210,105,2024-04-19,384,1,52
211,103,2024-03-22,130,1,58
212,105,2024-01-14,78,4,42
213,104,2024-09-10,412,24,49
214,103,2024-11-10,103,4,43
215,104,2024-09-29,419,17,21
216,101,2024-11-20,127,13,36
217,104,2024-04-19,108,12,4
218,102,2024-06-11,80,8,32
219,105,2024-11-04,366,7,49
220,101,2024-03-18,242,5,5
221,102,2024-12-18,372,2,26
222,104,2024-06-14,275,9,18
223,102,2024-11-07,284,40,17
224,102,2024-04-08,243,8,44
225,101,2024-04-06,214,20,8
226,102,2024-11-12,363,47,7
227,101,2024-04-03,397,1,25
228,102,2024-02-26,342,28,60
229,101,2024-01-31,432,12,1
230,104,2024-11-13,395,38,9
231,104,2024-12-24,183,9,23
232,103,2024-01-05,315,12,60
233,104,2024-07-07,248,3,58
234,105,2024-06-21,419,60,36
235,103,2024-06-15,338,22,18
236,102,2024-05-22,362,6,10
237,101,2024-08-31,499,69,58
238,102,2024-03-09,258,17,55
239,103,2024-10-12,330,49,17
240,102,2024-04-15,200,10,45
241,101,2024-12-08,458,15,2
242,104,2024-11-07,393,54,35
243,105,2024-05-10,430,48,22
244,104,2024-11-20,489,1,45
245,105,2024-03-15,440,29,36
246,104,2024-09-14,329,46,37
247,104,2024-08-31,164,8,7
248,103,2024-10-05,477,57,60
249,103,2024-06-17,306,27,55
250,104,2024-04-29,363,33,26
251,101,2024-11-04,406,13,33
252,101,2024-06-28,334,21,14
253,104,2024-06-29,481,43,51
254,105,2024-08-24,406,21,12
255,105,2024-08-12,125,12,26
256,103,2024-04-20,224,25,24
257,101,2024-03-26,468,56,26
258,105,2024-08-31,426,46,7
259,102,2024-02-27,112,16,25
260,105,2024-07-09,95,7,31
261,101,2024-02-05,305,11,11
262,101,2024-07-06,190,26,33
263,104,2024-02-13,492,45,23
264,105,2024-07-20,219,15,43
265,101,2024-08-13,108,10,27
266,105,2024-07-03,117,7,19
267,103,2024-10-07,484,4,54
268,104,2024-08-13,396,1,0
269,103,2024-09-14,446,38,19
270,105,2024-04-11,277,13,56
271,101,2024-08-08,126,17,58
272,101,2024-02-25,173,18,5
273,105,2024-02-11,149,6,55
274,102,2024-10-24,284,38,20
275,105,2024-12-16,97,1,16
276,105,2024-03-01,127,17,4
277,104,2024-05-04,101,2,14
278,103,2024-07-14,63,0,31
279,101,2024-06-13,242,32,10
280,104,2024-05-12,265,3,44
281,102,2024-01-12,368,34,45
282,104,2024-11-17,266,32,28
283,102,2024-03-30,331,27,42
284,104,2024-10-22,57,1,42
285,103,2024-07-24,406,11,23
286,101,2024-01-19,235,4,20
287,105,2024-10-02,208,3,28
288,104,2024-05-11,322,11,1
289,104,2024-10-24,268,9,26
290,105,2024-06-26,392,47,10
291,104,2024-09-26,136,9,35
292,101,2024-12-26,348,24,34
293,101,2024-05-09,485,52,0
294,102,2024-09-12,153,22,47
295,103,2024-06-17,264,36,39
296,104,2024-11-21,263,6,28
297,102,2024-06-05,366,27,24
298,104,2024-11-05,300,31,36
299,102,2024-03-07,194,14,59
300,102,2024-03-20,316,5,9
301,101,2024-02-18,340,24,48
302,102,2024-04-20,209,22,30
303,105,2024-01-08,352,30,21
304,105,2024-06-27,219,2,33
305,101,2024-02-09,192,21,43
306,104,2024-07-12,415,14,38
307,102,2024-11-10,316,47,43
308,101,2024-09-22,469,10,30
309,104,2024-01-14,191,6,15
310,102,2024-02-01,248,2,32
311,102,2024-07-18,338,39,60
312,104,2024-03-05,152,3,7
313,105,2024-06-13,441,0,56
314,105,2024-04-20,332,42,23
315,103,2024-07-15,58,5,33
316,105,2024-08-31,361,15,34
317,104,2024-12-12,467,38,36
318,101,2024-12-22,125,18,19
319,103,2024-07-10,131,16,43
320,102,2024-07-16,390,49,20
321,101,2024-12-06,87,12,20
322,104,2024-01-02,206,27,6
323,104,2024-06-03,255,29,31
324,101,2024-05-27,55,3,56
325,103,2024-11-05,333,30,2
326,105,2024-06-11,186,16,51
327,104,2024-03-04,252,20,50
328,101,2024-05-29,259,34,14
329,104,2024-01-29,121,13,20
330,105,2024-12-22,306,16,11
331,101,2024-06-23,394,36,53
332,102,2024-11-05,139,16,9
333,105,2024-11-28,107,7,22
334,101,2024-02-17,278,19,44
335,101,2024-01-18,248,12,38
336,104,2024-08-22,249,2,6
337,105,2024-07-04,190,2,43
338,103,2024-07-11,440,15,58
339,102,2024-01-31,476,66,22
340,103,2024-09-20,439,38,6
341,102,2024-02-02,161,20,10
342,101,2024-10-10,150,15,50
343,103,2024-08-03,363,1,23
344,103,2024-11-06,113,2,51
345,102,2024-12-19,438,51,12
346,102,2024-03-03,299,37,17
347,104,2024-12-11,352,11,10
348,101,2024-04-29,449,45,31
349,102,2024-07-07,305,27,41
350,103,2024-11-10,264,39,43
351,104,2024-12-12,375,24,21
352,104,2024-07-23,107,11,44
353,101,2024-06-10,254,6,26
354,104,2024-02-23,465,11,43
355,104,2024-08-23,50,5,20
356,103,2024-12-15,67,6,28
357,102,2024-05-25,200,27,23
358,104,2024-02-02,371,48,9
359,104,2024-07-12,72,7,10
360,103,2024-05-22,282,19,36
361,104,2024-02-09,55,2,12
362,102,2024-07-06,120,5,3
363,104,2024-02-09,400,40,17
364,104,2024-07-20,213,9,41
365,101,2024-04-19,84,8,16
366,102,2024-09-01,348,20,19
367,104,2024-04-26,60,7,26
368,102,2024-03-16,362,45,10
369,103,2024-10-17,125,15,48
370,101,2024-04-17,468,43,10
371,105,2024-03-06,441,8,46
372,102,2024-02-24,422,50,38
373,103,2024-08-29,436,44,41
374,101,2024-11-20,183,17,44
375,101,2024-12-10,157,22,40
376,102,2024-02-29,107,0,54
377,105,2024-12-08,266,17,31
