event_id,dept_id,risk_type,severity,date
1,105,System Downtime,Critical,2024-12-20
2,103,Process Failure,Medium,2024-08-08
3,101,Fraud Alert,Low,2024-12-15
4,102,Process Failure,Critical,2024-07-12
5,103,Compliance Breach,High,2024-08-07
6,104,System Downtime,High,2024-02-15
7,102,Process Failure,Medium,2024-08-15
8,102,Compliance Breach,Critical,2024-09-01
9,102,Fraud Alert,Critical,2024-11-10
10,102,Process Failure,Critical,2024-12-06
11,105,Process Failure,Medium,2024-06-30
12,105,Compliance Breach,Critical,2024-10-04
13,105,Fraud Alert,Medium,2024-07-12
14,102,Process Failure,Medium,2024-11-02
15,103,Process Failure,High,2024-04-10
16,103,System Downtime,High,2024-12-25
17,101,Fraud Alert,Low,2024-11-06
18,101,Compliance Breach,Critical,2024-05-09
19,102,Compliance Breach,Low,2024-10-20
20,105,Process Failure,Low,2024-11-18
21,103,System Downtime,High,2024-08-21
22,101,Fraud Alert,Low,2024-09-02
23,103,Compliance Breach,Low,2024-01-03
24,104,Compliance Breach,Critical,2024-05-05
25,105,Compliance Breach,Critical,2024-05-29
26,101,Process Failure,Low,2024-05-04
27,105,Fraud Alert,Low,2024-09-06
28,103,Fraud Alert,Low,2024-03-28
29,101,Fraud Alert,Low,2024-02-09
30,105,Fraud Alert,Critical,2024-01-10
31,105,Fraud Alert,Low,2024-10-29
32,102,Compliance Breach,Low,2024-04-18
33,105,Process Failure,Low,2024-12-13
34,103,Compliance Breach,Medium,2024-12-31
35,103,Fraud Alert,Medium,2024-03-10
36,105,Process Failure,High,2024-08-05
37,102,Process Failure,Low,2024-07-29
38,103,Compliance Breach,Medium,2024-06-24
39,105,System Downtime,Low,2024-01-11
40,102,Process Failure,Low,2024-10-17
41,103,Process Failure,Medium,2024-04-20
42,105,Process Failure,Critical,2024-01-04
43,105,System Downtime,Medium,2024-01-11
44,102,Compliance Breach,Low,2024-06-17
45,102,System Downtime,Medium,2024-04-29
46,102,Compliance Breach,Medium,2024-12-18
47,101,Compliance Breach,Low,2024-11-27
48,105,Process Failure,Medium,2024-01-18
49,102,Compliance Breach,High,2024-10-18
50,104,Fraud Alert,Low,2024-12-12
51,101,Compliance Breach,Medium,2024-07-11
52,101,Process Failure,High,2024-04-18
53,101,Fraud Alert,Medium,2024-07-05
54,103,Process Failure,Low,2024-12-16
55,105,Compliance Breach,Low,2024-05-26
56,101,System Downtime,Medium,2024-05-31
57,102,System Downtime,Low,2024-10-14
58,101,Fraud Alert,High,2024-08-26
59,101,Compliance Breach,Medium,2024-01-14
60,103,Compliance Breach,Medium,2024-09-16
61,103,Compliance Breach,High,2024-01-17
62,101,System Downtime,High,2024-04-16
63,102,Fraud Alert,Low,2024-12-16
64,102,Compliance Breach,Low,2024-11-01
65,104,Compliance Breach,Critical,2024-03-14
66,101,System Downtime,Medium,2024-03-18
67,102,Process Failure,Critical,2024-09-11
68,104,Fraud Alert,Low,2024-11-22
69,101,System Downtime,High,2024-08-04
70,104,Fraud Alert,Medium,2024-02-02
71,103,Process Failure,Low,2024-07-07
72,102,System Downtime,High,2024-09-19
73,101,System Downtime,Medium,2024-02-07
74,104,Compliance Breach,High,2024-01-12
75,103,Process Failure,Critical,2024-04-22
76,104,System Downtime,High,2024-05-08
77,101,Fraud Alert,Critical,2024-05-23
78,103,Compliance Breach,Critical,2024-09-08
79,104,Process Failure,High,2024-11-08
80,102,Process Failure,Low,2024-07-23
81,102,Fraud Alert,Critical,2024-11-24
82,103,Compliance Breach,Medium,2024-01-31
83,105,Compliance Breach,Medium,2024-11-18
84,102,Process Failure,Critical,2024-10-28
85,103,Fraud Alert,Medium,2024-03-27
86,101,Process Failure,High,2024-11-08
87,104,Compliance Breach,Critical,2024-10-02
88,105,Fraud Alert,Critical,2024-12-13
89,105,System Downtime,Critical,2024-10-02
90,105,System Downtime,Critical,2024-02-15
91,104,Fraud Alert,High,2024-03-21
92,101,System Downtime,Low,2024-05-23
93,103,Compliance Breach,High,2024-08-11
94,105,Compliance Breach,Low,2024-08-03
95,101,System Downtime,Critical,2024-02-13
96,104,System Downtime,Medium,2024-08-22
97,104,Process Failure,High,2024-03-17
98,102,System Downtime,Low,2024-03-17
99,101,Process Failure,Medium,2024-01-19
100,102,Process Failure,Critical,2024-11-06
101,101,Compliance Breach,Medium,2024-01-13
102,101,Fraud Alert,Critical,2024-10-15
103,104,Fraud Alert,High,2024-08-07
104,103,Fraud Alert,Critical,2024-02-06
105,103,Process Failure,Medium,2024-03-17
106,103,System Downtime,Medium,2024-12-27
107,101,Process Failure,Low,2024-04-28
108,102,Fraud Alert,Critical,2024-10-23
109,104,Process Failure,Medium,2024-08-24
110,103,System Downtime,High,2024-06-08
111,103,Fraud Alert,Low,2024-04-01
112,103,Fraud Alert,Critical,2024-12-08
113,103,Compliance Breach,Critical,2024-12-17
114,102,Fraud Alert,Medium,2024-07-12
115,105,System Downtime,Medium,2024-07-02
116,105,Compliance Breach,High,2024-07-23
117,101,Fraud Alert,Critical,2024-07-12
118,105,Compliance Breach,Medium,2024-09-07
119,105,System Downtime,High,2024-06-27
120,101,System Downtime,Medium,2024-04-26
121,105,System Downtime,Critical,2024-05-05
122,104,Fraud Alert,Medium,2024-12-10
123,105,Fraud Alert,High,2024-06-08
124,102,Compliance Breach,High,2024-03-17
125,101,Process Failure,Medium,2024-03-16
126,101,Process Failure,Low,2024-10-19
127,103,System Downtime,Medium,2024-05-14
128,105,Process Failure,Medium,2024-02-25
129,104,Process Failure,Critical,2024-12-26
130,105,Fraud Alert,High,2024-01-06
131,104,Fraud Alert,Medium,2024-07-19
132,104,Process Failure,Low,2024-11-22
133,103,Process Failure,Critical,2024-03-09
134,101,Compliance Breach,Critical,2024-03-30
135,105,Fraud Alert,High,2024-02-11
136,101,Process Failure,Low,2024-09-27
137,102,Compliance Breach,Low,2024-11-01
138,101,Fraud Alert,Low,2024-11-21
139,105,Process Failure,Low,2024-07-25
140,103,Fraud Alert,High,2024-04-10
141,102,Fraud Alert,Medium,2024-03-04
142,102,System Downtime,Low,2024-10-29
143,102,Process Failure,Medium,2024-11-10
144,104,Fraud Alert,Low,2024-08-24
145,101,Fraud Alert,High,2024-09-26
146,104,System Downtime,High,2024-05-02
147,103,Fraud Alert,Low,2024-11-07
148,105,System Downtime,Medium,2024-07-02
149,102,Fraud Alert,Low,2024-08-18
150,105,Process Failure,Low,2024-11-22
151,101,System Downtime,High,2024-09-24
152,105,Process Failure,Critical,2024-01-10
153,102,Fraud Alert,Medium,2024-05-31
154,105,Fraud Alert,Low,2024-01-11
155,102,System Downtime,Critical,2024-07-26
156,101,Fraud Alert,Low,2024-11-25
157,101,Fraud Alert,Medium,2024-12-14
158,105,Process Failure,Critical,2024-04-19
159,104,System Downtime,Low,2024-07-25
160,105,System Downtime,Medium,2024-06-14
161,105,Fraud Alert,Critical,2024-05-19
162,105,System Downtime,Critical,2024-11-08
163,105,Fraud Alert,Medium,2024-05-14
164,102,Compliance Breach,Low,2024-11-23
165,101,Process Failure,Low,2024-08-27
166,103,Process Failure,Critical,2024-09-01
167,101,System Downtime,Low,2024-10-25
168,102,System Downtime,Low,2024-02-23
169,103,Fraud Alert,Critical,2024-07-29
170,101,Fraud Alert,Medium,2024-08-16
171,101,Process Failure,High,2024-06-14
172,102,Fraud Alert,Low,2024-11-24
173,105,Compliance Breach,Low,2024-09-02
174,105,Fraud Alert,Low,2024-01-01
175,104,Compliance Breach,Medium,2024-10-26
176,105,System Downtime,Critical,2024-10-29
177,104,Process Failure,Low,2024-01-23
178,105,Compliance Breach,Medium,2024-07-09
179,101,Process Failure,Critical,2024-06-24
180,103,System Downtime,High,2024-11-27
181,105,Process Failure,Critical,2024-02-17
182,104,Process Failure,Medium,2024-09-30
183,101,Process Failure,Low,2024-11-22
184,102,System Downtime,Critical,2024-03-30
185,104,System Downtime,Low,2024-03-14
186,104,System Downtime,Medium,2024-07-10
187,101,System Downtime,Medium,2024-10-25
188,102,Fraud Alert,Low,2024-09-03
189,102,Fraud Alert,Medium,2024-10-24
190,102,Process Failure,Critical,2024-09-01
191,105,Fraud Alert,Medium,2024-03-12
192,103,Fraud Alert,High,2024-06-25
193,104,Compliance Breach,Medium,2024-12-31
194,104,Process Failure,Low,2024-11-04
195,104,Process Failure,Low,2024-06-14
196,102,System Downtime,Low,2024-10-22
197,105,System Downtime,Critical,2024-05-03
198,105,Process Failure,High,2024-10-31
199,105,Compliance Breach,Medium,2024-07-15
200,105,System Downtime,High,2024-06-11
201,101,Fraud Alert,Medium,2024-01-11
202,101,Process Failure,Critical,2024-12-25
203,102,Fraud Alert,Medium,2024-08-21
204,102,Process Failure,Critical,2024-02-04
205,103,Process Failure,High,2024-08-14
206,105,Compliance Breach,Critical,2024-02-14
207,103,System Downtime,Critical,2024-07-06
208,103,Compliance Breach,Low,2024-07-12
209,105,System Downtime,High,2024-07-04
210,105,Fraud Alert,Low,2024-08-06
211,105,Compliance Breach,Low,2024-01-15
212,105,Fraud Alert,High,2024-02-14
213,102,Compliance Breach,Critical,2024-11-07
214,102,System Downtime,Low,2024-11-24
215,105,Fraud Alert,Low,2024-02-28
216,103,Compliance Breach,Medium,2024-07-16
217,104,Compliance Breach,Low,2024-05-29
218,101,Process Failure,Low,2024-11-29
219,102,Compliance Breach,Low,2024-12-22
220,102,Fraud Alert,High,2024-11-07
221,102,Fraud Alert,Medium,2024-11-18
222,102,Process Failure,Medium,2024-11-23
223,105,Process Failure,High,2024-02-14
224,105,System Downtime,Critical,2024-04-07
225,105,Process Failure,High,2024-06-30
226,105,Process Failure,Critical,2024-01-31
227,101,System Downtime,High,2024-07-24
228,101,System Downtime,High,2024-04-03
229,102,Process Failure,High,2024-04-16
230,103,Compliance Breach,Low,2024-10-22
231,103,System Downtime,Critical,2024-01-21
232,102,System Downtime,Low,2024-12-31
233,101,System Downtime,Low,2024-02-20
234,102,Fraud Alert,Low,2024-01-14
235,105,Fraud Alert,High,2024-06-02
